ID,cluster_kmeans_features,cluster_hierarchical,cluster_kmeans_ts,cluster_dbscan
18988,2,1,1,0
19007,2,0,1,0
19020,2,0,1,0
19052,2,0,1,0
19062,2,0,1,0
19078,2,0,1,0
19082,0,2,1,0
19094,2,0,1,0
19114,2,0,1,0
19175,2,0,0,0
19178,2,0,0,0
19192,2,0,1,0
19198,2,0,0,0
19202,2,0,1,0
19203,1,1,0,0
19216,2,0,1,0
19217,2,0,0,0
19223,2,0,1,0
19243,2,0,1,0
19258,2,0,1,0
19270,2,1,1,0
19275,0,0,1,0
19298,2,0,1,0
19302,2,1,1,0
19308,2,0,1,0
19331,2,0,1,0
19337,2,0,0,0
19338,2,0,1,0
19350,2,0,1,0
19359,1,1,0,0
19362,0,0,1,0
19399,2,0,1,0
19416,2,0,1,0
19417,2,0,1,0
19437,1,0,0,0
19447,2,0,1,0
19508,2,0,1,0
19528,2,0,1,0
19540,2,0,0,0
19573,2,0,1,0
19587,2,0,0,0
19593,2,0,0,0
19596,1,1,0,0
19604,2,0,1,0
19650,2,0,0,0
19651,2,0,0,0
19673,2,0,0,0
19726,2,0,1,0
19727,2,0,1,0
19743,1,1,0,0
19746,2,0,0,0
19786,2,0,1,0
19829,2,0,1,0
19895,2,0,0,0
19908,2,0,0,0
19913,2,0,1,0
19917,2,0,0,0
19947,2,0,1,0
19964,2,0,1,0
19978,2,0,0,0
19980,1,1,1,0
20055,1,1,0,0
20059,2,0,0,0
20064,2,0,1,0
20071,2,0,0,0
20072,0,2,0,0
20077,2,0,1,0
20101,2,0,1,0
20105,2,0,0,0
20114,1,1,0,0
20135,2,0,1,0
20156,2,0,0,0
20176,2,1,0,0
20189,2,0,0,0
20220,2,0,1,0
20224,2,0,0,0
20241,2,0,1,0
20252,2,0,1,0
20280,1,1,0,0
20281,1,1,0,0
20351,2,0,1,0
20389,2,0,1,0
20394,2,0,1,0
20398,2,0,1,0
20399,2,1,1,0
20403,2,0,0,0
20453,1,0,1,0
20469,1,1,0,0
20498,2,0,1,0
20534,2,0,1,0
20543,2,0,1,0
20559,2,0,0,0
20565,2,0,1,0
20573,1,1,1,0
20592,1,1,0,0
20601,2,0,1,0
20631,1,1,0,0
20648,2,0,1,0
20682,1,1,0,0
20718,1,1,0,0
20746,1,1,0,0
20754,1,1,0,0
20781,1,1,0,0
20801,2,0,1,0
20824,2,0,0,0
20891,2,0,0,0
20900,2,0,1,0
20907,2,0,0,0
20910,2,0,1,0
20946,2,0,0,0
20960,1,1,1,0
20962,2,0,1,0
21041,2,0,1,0
21049,2,0,0,0
21086,2,0,1,0
21113,2,0,1,0
21125,2,0,1,0
21143,0,0,1,0
21162,2,0,0,0
21175,1,1,0,0
21201,1,1,0,0
21253,2,0,1,0
21279,2,0,0,0
21298,2,0,1,0
21316,2,0,0,0
21331,2,0,0,0
21337,2,0,0,0
21359,2,0,1,0
21383,2,0,1,0
21389,2,0,1,0
21392,2,1,0,0
21393,2,0,1,0
21394,2,1,0,0
21395,2,0,1,0
21398,2,0,1,0
21405,1,0,0,0
21423,2,0,0,0
21439,2,0,1,0
21534,2,0,0,0
21571,2,0,0,0
21628,2,0,0,0
21634,1,1,0,0
21640,2,0,1,0
21643,2,0,1,0
21655,0,2,1,0
21657,2,0,0,0
21665,1,0,0,0
21704,2,0,1,0
21712,0,2,1,0
21717,2,0,1,0
21740,1,1,0,0
21775,2,0,1,0
21794,2,0,0,0
21804,2,1,0,0
21812,1,1,0,0
21817,2,0,1,0
21829,1,1,0,0
21848,2,0,1,0
21850,2,0,0,0
21854,2,0,1,0
21862,2,0,0,0
21868,2,0,1,0
21871,1,1,0,0
21888,2,0,1,0
21889,1,1,0,0
21917,1,1,0,0
21930,2,0,0,0
21940,2,0,0,0
21948,2,1,1,0
21999,2,0,0,0
22005,2,0,1,0
22023,2,0,1,0
22051,0,0,1,0
22060,2,0,0,0
22062,2,0,1,0
22100,2,0,1,0
22111,2,0,1,0
